Yaw,Roll,Pitch,ax,ay,az
297.9375,11.5,13.375,-1.08,1.33,-0.6
298.4375,11.125,13.25,-0.35,1.67,0.42
299,10.6875,13.125,0.65,1.44,1.09
299.875,10,12.8125,1.07,1.34,1.13
300.25,9.8125,12.75,1.32,1.15,1.11
300.625,9.6875,12.75,1.63,0.95,0.27
300.9375,9.6875,13,0.89,1.64,0.35
301.25,9.6875,13.4375,0.02,2.61,-0.64
301.5625,9.6875,13.8125,-0.43,3.83,-1.17
301.8125,9.625,14.1875,-0.79,4.44,-0.62
302.1875,8.9375,14.3125,0.02,4.36,0.27
302.1875,8.375,13.9375,0.82,3.78,0.9
302.1875,7.75,13.4375,1.88,2.96,1.25
302,7.125,13.0625,2.66,2.18,1.47
301.875,6.75,12.8125,3.18,1.68,1.3
301.6875,6.5625,12.875,2.16,2.66,0.58
301.4375,6.5625,13.125,1.13,3.32,0.09
300.8125,6.9375,13.625,-0.66,4.15,-0.8
300.375,7.0625,13.625,-1.2,3.97,-1.05
299.8125,7,13.25,-1.4,3.42,-0.97
299.25,6.6875,12.5625,-0.6,1.41,-0.41
298.6875,6.1875,11.75,0.66,-0.64,0.32
298.125,5.625,11.0625,1.13,-1.15,0.64
297.625,5.0625,10.5625,1.6,-1.31,0.4
296.875,4.375,10.3125,1.13,-0.7,0.3
296.5625,4.25,10.5625,0.56,0.09,0.1
296.25,4.1875,10.9375,-0.06,0.76,-0.12
296,4.0625,11.125,-0.61,1.66,-0.25
295.6875,3.8125,11.1875,-0.34,1.46,-0.34
295.3125,3.4375,11.0625,0.01,1.12,-0.17
294.9375,2.9375,10.875,1.78,0.55,0.42
294.5625,2.4375,10.8125,2.1,0.72,0.64
293.8125,1.6875,10.75,2.21,0.85,0.54
293.375,1.625,10.75,1.36,1.23,0.43
292.875,1.6875,10.6875,0.69,1.26,0.34
292.3125,1.8125,10.5,0.1,0.94,0.11
291.75,1.9375,10.125,-0.49,0.69,0.2
291.1875,2,9.6875,-0.19,-0.96,-0.04
290.6875,1.875,9.3125,0.03,-1.09,0.18
289.8125,1.3125,8.9375,0.72,-1.23,0.15
289.5,1,9.0625,1.41,-0.3,0.48
289.25,0.6875,9.375,1.69,0.19,0.38
288.9375,0.4375,9.75,1.9,0.74,0.12
288.625,0.3125,10.1875,1.72,1.38,0.05
288.1875,0.25,10.5625,1.44,2.06,-0.29
287.75,0.125,10.75,1.4,1.78,-0.31
287.25,0.0625,10.8125,1.56,1.03,-0.4
286.125,-0.0625,10.625,1.37,0.79,-0.15
285.5,-0.125,10.5,1.2,0.62,0.07
284.9375,-0.125,10.375,1.05,0.59,0.35
284.375,-0.1875,10.25,1,0.31,0.85
283.75,-0.1875,10.125,0.98,0.08,1.14
283.1875,-0.0625,9.875,1.39,-0.26,0.93
282.6875,0,9.5625,1.2,-0.98,0.32
281.4375,0.4375,9.5,1.05,-0.84,-0.13
280.875,0.6875,9.625,0.72,-0.8,-0.57
280.1875,0.875,9.9375,0.4,-0.48,-0.82
279.6875,1.0625,10.3125,0.24,0.59,-1.12
279.125,1.125,10.625,0.27,0.67,-1.25
278.5,1.0625,10.8125,0.5,0.71,-1.43
277.9375,1.0625,10.8125,0.79,-0.02,-1.2
276.5,0.8125,10.625,0.98,-0.29,-1.08
275.75,0.6875,10.4375,1.08,-0.67,-0.92
275,0.5,10.375,1.29,-1.01,-0.73
274.25,0.375,10.375,1.45,-1.04,-0.78
273.5,0.1875,10.5,1.5,-0.81,-0.67
272.75,0.0625,10.6875,1.56,-0.68,-0.42
272,-0.0625,10.9375,1.72,-0.79,-0.61
270.375,-0.25,11.375,1.51,-0.88,-0.72
269.625,0,11.75,1.18,-0.95,-0.89
268.875,0,12,0.63,-1.1,-1.6
268.1875,0.125,12.3125,0.4,-0.98,-2.13
267.5625,0.125,12.75,0.16,-0.57,-2.55
